timestamp,equity,drawdown_pct
2024-01-01 09:30:00,10000.0,0.0
2024-01-02 09:30:00,10000.0,0.0
2024-01-03 09:30:00,10000.0,0.0
2024-01-04 09:30:00,10000.0,0.0
2024-01-05 09:30:00,10000.0,0.0
2024-01-06 09:30:00,10000.0,0.0
2024-01-07 09:30:00,10000.0,0.0
2024-01-08 09:30:00,10000.0,0.0
2024-01-09 09:30:00,10000.0,0.0
2024-01-10 09:30:00,10000.0,0.0
2024-01-11 09:30:00,10000.0,0.0
2024-01-12 09:30:00,10000.0,0.0
2024-01-12 09:30:00,9997.00823,-0.029917700000005425
2024-01-13 09:30:00,9657.85823,-3.421417700000002
2024-01-14 09:30:00,9717.70823,-2.822917699999998
2024-01-15 09:30:00,9777.55823,-2.2244176999999943
2024-01-16 09:30:00,9837.40823,-1.625917700000009
2024-01-17 09:30:00,9897.25823,-1.0274177000000055
2024-01-18 09:30:00,9957.10823,-0.4289177000000018
2024-01-19 09:30:00,10016.95823,0.0
2024-01-20 09:30:00,10076.80823,0.0
2024-01-21 09:30:00,10136.65823,0.0
2024-01-22 09:30:00,10196.50823,0.0
2024-01-23 09:30:00,10256.35823,0.0
2024-01-24 09:30:00,10316.20823,0.0
2024-01-25 09:30:00,9977.05823,-3.2875451177278108
2024-01-26 09:30:00,10036.90823,-2.7073900969523286
2024-01-27 09:30:00,10096.75823,-2.127235076176828
2024-01-28 09:30:00,10156.60823,-1.547080055401328
2024-01-29 09:30:00,10216.45823,-0.9669250346258278
2024-01-30 09:30:00,10276.30823,-0.3867700138503276
2024-01-31 09:30:00,10336.15823,0.0
2024-02-01 09:30:00,10396.00823,0.0
2024-02-02 09:30:00,10455.85823,0.0
2024-02-03 09:30:00,10515.70823,0.0
2024-02-04 09:30:00,10575.55823,0.0
2024-02-05 09:30:00,10635.40823,0.0
2024-02-06 09:30:00,10296.25823,-3.1888761828938246
2024-02-07 09:30:00,10356.10823,-2.626133327089028
2024-02-08 09:30:00,10415.95823,-2.0633904712842313
2024-02-09 09:30:00,10475.80823,-1.5006476154794346
2024-02-10 09:30:00,10535.65823,-0.9379047596746553
2024-02-11 09:30:00,10595.50823,-0.37516190386985865
2024-02-12 09:30:00,10655.35823,0.0
2024-02-13 09:30:00,10715.20823,0.0
2024-02-14 09:30:00,10775.05823,0.0
2024-02-15 09:30:00,10834.90823,0.0
2024-02-16 09:30:00,10894.75823,0.0
2024-02-17 09:30:00,10954.60823,0.0
2024-02-18 09:30:00,10615.45823,-3.0959573622287326
2024-02-19 09:30:00,10675.30823,-2.5496119453648345
2024-02-20 09:30:00,10735.15823,-2.0032665285009537
2024-02-21 09:30:00,10795.00823,-1.4569211116370555
2024-02-22 09:30:00,10854.85823,-0.9105756947731575
2024-02-23 09:30:00,10914.70823,-0.3642302779092597
2024-02-24 09:30:00,10974.55823,0.0
2024-02-25 09:30:00,11034.40823,0.0
2024-02-26 09:30:00,11094.25823,0.0
2024-02-27 09:30:00,11154.10823,0.0
2024-02-28 09:30:00,11213.95823,0.0
2024-02-29 09:30:00,11273.80823,0.0
2024-03-01 09:30:00,10934.65823,-3.00830023964317
2024-03-02 09:30:00,10994.50823,-2.4774237267649624
2024-03-03 09:30:00,11054.35823,-1.9465472138867554
2024-03-04 09:30:00,11114.20823,-1.4156707010085479
2024-03-05 09:30:00,11174.05823,-0.8847941881303403
2024-03-06 09:30:00,11233.90823,-0.35391767525214907
2024-03-07 09:30:00,11293.75823,0.0
2024-03-08 09:30:00,11353.60823,0.0
2024-03-09 09:30:00,11413.45823,0.0
2024-03-10 09:30:00,11473.30823,0.0
2024-03-11 09:30:00,11153.15823,-2.790389603260937
2024-03-12 09:30:00,11213.00823,-2.2687440691201677
2024-03-13 09:30:00,10873.85823,-5.224735429251173
2024-03-13 09:30:00,10870.69109,-5.252339847580302
2024-03-14 09:30:00,10870.69109,-5.252339847580302
2024-03-15 09:30:00,10870.69109,-5.252339847580302
2024-03-16 09:30:00,10870.69109,-5.252339847580302
2024-03-17 09:30:00,10870.69109,-5.252339847580302
2024-03-18 09:30:00,10870.69109,-5.252339847580302
2024-03-19 09:30:00,10870.69109,-5.252339847580302
2024-03-19 09:30:00,10867.522834,-5.279953992833688
2024-03-20 09:30:00,10925.482834,-4.774781475560516
2024-03-21 09:30:00,10983.442834,-4.269608958287361
2024-03-22 09:30:00,11041.402834,-3.764436441014189
2024-03-23 09:30:00,11099.362834,-3.259263923741034
2024-03-24 09:30:00,11525.322834,0.0
2024-03-25 09:30:00,11196.882834,-2.8497249468023056
2024-03-26 09:30:00,11254.842834,-2.346832309131319
2024-03-27 09:30:00,11312.802834,-1.8439396714603165
2024-03-28 09:30:00,11370.762834,-1.3410470337893297
